dataset,model,model_family,tuned,split,fold_id,test_cell,RMSE,MAE,MAPE,R2,train_time_sec,inference_ms_per_sample,throughput_samples_sec,param_count,model_size_mb_fp32
CALCE,Ours,ARCF-TCN,True,validation,test_CS2_35,CS2_35,0.011341927762231455,0.005287440106083,0.9412500409622508,0.9976680959770333,7.041416709078476,0.23174008777188718,4315.179171694919,58273.0,0.22229385375976562
CALCE,Ours,ARCF-TCN,True,test,test_CS2_35,CS2_35,0.009193903180489764,0.004181595463343557,0.7120022074188613,0.9976177794007464,7.041416709078476,0.23174008777188718,4315.179171694919,58273.0,0.22229385375976562
CALCE,Trend_Prior_l1,baseline,False,validation,test_CS2_36,CS2_36,0.012152532178777887,0.004628077794210539,0.7351143919614795,0.9958238199506942,8.330680429935455e-07,2.5813832231189893e-06,387389207.0901961,0.0,0.0
CALCE,Trend_Prior_l1,baseline,False,test,test_CS2_36,CS2_36,0.01321221277027315,0.005041762531119449,0.8615830400376883,0.996835624336235,8.330680429935455e-07,2.5813832231189893e-06,387389207.0901961,0.0,0.0
CALCE,Trend_Prior_l2,baseline,False,validation,test_CS2_36,CS2_36,0.011520529084069591,0.007141069672308532,1.1125216808904956,0.9962468968197687,3.3294782042503357e-07,0.012314492462040938,81205.13314555761,0.0,0.0
CALCE,Trend_Prior_l2,baseline,False,test,test_CS2_36,CS2_36,0.013161753524160576,0.008335335177120654,1.5113860103834527,0.996859748547458,3.3294782042503357e-07,0.012314492462040938,81205.13314555761,0.0,0.0
CALCE,LSTM,LSTM,False,validation,test_CS2_36,CS2_36,0.015034024126623038,0.008427182993600572,1.6667738214485184,0.9936085979061666,0.7988003341015428,0.01704533579354377,58667.07538720171,28657.0,0.10931777954101562
CALCE,LSTM,LSTM,False,test,test_CS2_36,CS2_36,0.023828513415182655,0.012587266220234426,3.857631366879003,0.9897072644235105,0.7988003341015428,0.01704533579354377,58667.07538720171,28657.0,0.10931777954101562
CALCE,GRU,GRU,False,validation,test_CS2_36,CS2_36,0.014868824221739454,0.008679976487471881,1.694552011722137,0.9937482887710094,0.6993599578272551,0.010462273823340302,95581.51668417419,21505.0,0.08203506469726562
CALCE,GRU,GRU,False,test,test_CS2_36,CS2_36,0.02301892661623272,0.01377610565680326,3.897884299444019,0.9903947857904263,0.6993599578272551,0.010462273823340302,95581.51668417419,21505.0,0.08203506469726562
CALCE,Transformer,Transformer,False,validation,test_CS2_36,CS2_36,0.021434365190190735,0.014403421628984694,2.5598535497851427,0.987008272389145,0.5377338328398764,0.022974048751284896,43527.373464987184,12801.0,0.048831939697265625
CALCE,Transformer,Transformer,False,test,test_CS2_36,CS2_36,0.02966706568433741,0.01837053646247861,4.9273583442653015,0.9840453932483911,0.5377338328398764,0.022974048751284896,43527.373464987184,12801.0,0.048831939697265625
CALCE,DNN,DNN,False,validation,test_CS2_36,CS2_36,0.017860939400540256,0.012063322020175895,2.0581588812262024,0.9909790090147297,0.04342400003224611,0.00025212926709133643,3966219.4378954805,5313.0,0.020267486572265625
CALCE,DNN,DNN,False,test,test_CS2_36,CS2_36,0.020225514540204922,0.013985939451810498,2.93203916296201,0.9925845745052975,0.04342400003224611,0.00025212926709133643,3966219.4378954805,5313.0,0.020267486572265625
