dataset,model,model_family,tuned,split,folds,RMSE,MAE,MAPE,R2,train_time_sec,inference_ms_per_sample,throughput_samples_sec,param_count,model_size_mb_fp32
CALCE,LightGBM,LightGBM,False,test,4,0.017096603648971323,0.008757574819257189,2.0577305566417468,0.9923249877401967,0.1843404588289559,0.0027546450853005795,371072.1318719133,0.0,0.0
CALCE,LightGBM,LightGBM,False,validation,4,0.015542089769846612,0.008479359060127095,1.8256252925150114,0.9939343324675444,0.1843404588289559,0.0027546450853005795,371072.1318719133,0.0,0.0
CALCE,Ours,ARCF-TCN,True,test,4,0.009979902756763043,0.004640707544350652,0.7696781319731854,0.9974631931169494,21.512306585209444,0.16685721883341187,7231.913777589896,58273.0,0.22229385375976562
CALCE,Ours,ARCF-TCN,True,validation,4,0.010093419477567391,0.00466970596469799,0.7734826556370491,0.9974071650308456,21.512306585209444,0.16685721883341187,7231.913777589896,58273.0,0.22229385375976562
CALCE,Transformer,Transformer,False,test,4,0.021874617855762606,0.015086754826153993,2.8702798536769625,0.9880240801444781,2.2099637917708606,0.024140844186258018,41728.512410660114,12801.0,0.048831939697265625
CALCE,Transformer,Transformer,False,validation,4,0.021740974194003202,0.014987445374159991,2.7830675312792663,0.9880913832857512,2.2099637917708606,0.024140844186258018,41728.512410660114,12801.0,0.048831939697265625
CALCE,Trend_Prior_l1,baseline,False,test,4,0.011977488850458452,0.004544872378945479,0.7428018185807547,0.9963213703350489,3.874069079756737e-06,2.697204444289396e-06,373801532.3303029,0.0,0.0
CALCE,Trend_Prior_l1,baseline,False,validation,4,0.011977488850458452,0.004544872378945479,0.7428018185807547,0.9963213703350489,3.874069079756737e-06,2.697204444289396e-06,373801532.3303029,0.0,0.0
CALCE,Trend_Prior_l2,baseline,False,test,4,0.012681495221203397,0.0076477329231260695,1.2772596081712726,0.9958397494104048,1.2908130884170532e-06,0.012479833573674246,80156.67006187743,0.0,0.0
CALCE,Trend_Prior_l2,baseline,False,validation,4,0.012681495221203397,0.0076477329231260695,1.2772596081712726,0.9958397494104048,1.2908130884170532e-06,0.012479833573674246,80156.67006187743,0.0,0.0
CALCE,VMD-TCN,VMD-TCN,True,test,4,0.015432406584770197,0.00931529445875489,1.8408814657354537,0.9940266955685857,3.550596000161022,0.047382505791832154,21111.332834869303,3457.0,0.013187408447265625
CALCE,VMD-TCN,VMD-TCN,True,validation,4,0.014662480476730945,0.009050568646794818,1.667634097592048,0.9945214900063326,3.550596000161022,0.047382505791832154,21111.332834869303,3457.0,0.013187408447265625
CALCE,VMD-XGBoost,VMD-XGBoost,True,test,4,0.017647903177055696,0.009419949322753576,2.1853199581359197,0.9918653614991111,0.30894079082645476,0.000461284076949764,2168477.027425128,0.0,0.0
CALCE,VMD-XGBoost,VMD-XGBoost,True,validation,4,0.015210469217665813,0.00873748150031883,1.7526949950419641,0.99412737485134,0.30894079082645476,0.000461284076949764,2168477.027425128,0.0,0.0
CALCE,XGBoost,XGBoost,False,test,4,0.016806627308140663,0.008893740275875233,2.0491876438240126,0.9926210688142683,0.08164991717785597,0.00036743746312051966,2721884.0042669065,0.0,0.0
CALCE,XGBoost,XGBoost,False,validation,4,0.014494149532087271,0.008346484551345235,1.614340534672376,0.9945774268793888,0.08164991717785597,0.00036743746312051966,2721884.0042669065,0.0,0.0
NASA,CNN1D,1D-CNN,False,test,4,0.029097238432546604,0.023477610827511056,3.0527326459656323,0.8590512160169306,0.38780095893889666,0.01938215897897319,52110.48141112973,12065.0,0.046024322509765625
NASA,CNN1D,1D-CNN,False,validation,4,0.029751124502403338,0.02385176073844987,3.1172642912534902,0.8607795845142384,0.38780095893889666,0.01938215897897319,52110.48141112973,12065.0,0.046024322509765625
NASA,DNN,DNN,False,test,4,0.018722942194546642,0.014752258155642678,1.930268152659627,0.9443748623284894,0.040865709306672215,0.0004799409021332711,2130057.617505385,5313.0,0.020267486572265625
NASA,DNN,DNN,False,validation,4,0.018525422969342672,0.014456760706372942,1.9032106987925623,0.9472272080119559,0.040865709306672215,0.0004799409021332711,2130057.617505385,5313.0,0.020267486572265625
NASA,EMD-TCN,EMD-TCN,True,test,4,0.08381729474815015,0.07208085357334086,9.468286026798117,0.012638233962607631,0.5417834990657866,0.047029108768278316,21263.569495095442,3457.0,0.013187408447265625
NASA,EMD-TCN,EMD-TCN,True,validation,4,0.08334164843953039,0.07224767736541682,9.511156261572845,0.03575125239869195,0.5417834990657866,0.047029108768278316,21263.569495095442,3457.0,0.013187408447265625
